# Interconnect transfer function for the 77 GHz automotive band.
# PROVENANCE: magnitude resampled from the Tessera collaborator's HFSS
#   S-parameter export 'Case1' (dB(S(Port_Top_11_11,Port_Bot_11_11)) [],
#   0.1-100 GHz, 31 pts).
#   Phase is a MINIMUM-PHASE reconstruction from |S21| (Hilbert transform of
#   ln|H|); the source export carries magnitude only. No collaborator source
#   code is reproduced here or anywhere in this repository -- this file is data.
# In-band 75-81 GHz: -0.292 to -0.289 dB.
# derived 2026-08-18 by the e2e maintainers from the authors' raw HFSS export
#   (interpolation + minimum-phase reconstruction; see README.md). The derivation
#   script is not distributed here -- ask the maintainers.
# ATTRIBUTION: the interconnect itself was simulated by Mohamed Gharib and
#   Prof. Inna Partin-Vaisband (University of Illinois Chicago). The simulation
#   code is NOT distributed with this repository and is available on request to
#   those authors. This file is their simulation's output, not a measurement.
freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg
7.000000e+10,0.967567638,0.001865117,-0.286357,0.110445
7.005000e+10,0.967566085,0.001177819,-0.286381,0.069746
7.010000e+10,0.967563440,0.001177955,-0.286405,0.069754
7.015000e+10,0.967561047,0.000948926,-0.286428,0.056192
7.020000e+10,0.967558403,0.000949066,-0.286452,0.056201
7.025000e+10,0.967555883,0.000811688,-0.286476,0.048066
7.030000e+10,0.967553239,0.000811837,-0.286500,0.048075
7.035000e+10,0.967550672,0.000713738,-0.286523,0.042266
7.040000e+10,0.967548027,0.000713900,-0.286547,0.042275
7.045000e+10,0.967545436,0.000637624,-0.286571,0.037759
7.050000e+10,0.967542791,0.000637800,-0.286594,0.037769
7.055000e+10,0.967540186,0.000575413,-0.286618,0.034075
7.060000e+10,0.967537542,0.000575604,-0.286642,0.034086
7.065000e+10,0.967534927,0.000522833,-0.286666,0.030961
7.070000e+10,0.967532283,0.000523041,-0.286689,0.030974
7.075000e+10,0.967529662,0.000477323,-0.286713,0.028266
7.080000e+10,0.967527017,0.000477548,-0.286737,0.028280
7.085000e+10,0.967524392,0.000437225,-0.286761,0.025892
7.090000e+10,0.967521747,0.000437467,-0.286784,0.025906
7.095000e+10,0.967519119,0.000401404,-0.286808,0.023771
7.100000e+10,0.967516474,0.000401664,-0.286832,0.023786
7.105000e+10,0.967513843,0.000369051,-0.286856,0.021855
7.110000e+10,0.967511198,0.000369329,-0.286879,0.021872
7.115000e+10,0.967508565,0.000339566,-0.286903,0.020109
7.120000e+10,0.967505921,0.000339863,-0.286927,0.020127
7.125000e+10,0.967503285,0.000312496,-0.286951,0.018506
7.130000e+10,0.967500641,0.000312811,-0.286974,0.018525
7.135000e+10,0.967498005,0.000287485,-0.286998,0.017025
7.140000e+10,0.967495360,0.000287819,-0.287022,0.017045
7.145000e+10,0.967492723,0.000264253,-0.287046,0.015649
7.150000e+10,0.967490078,0.000264606,-0.287069,0.015670
7.155000e+10,0.967487440,0.000242575,-0.287093,0.014366
7.160000e+10,0.967484795,0.000242947,-0.287117,0.014388
7.165000e+10,0.967482156,0.000222265,-0.287140,0.013163
7.170000e+10,0.967479512,0.000222656,-0.287164,0.013186
7.175000e+10,0.967476872,0.000203169,-0.287188,0.012032
7.180000e+10,0.967474227,0.000203580,-0.287212,0.012056
7.185000e+10,0.967471587,0.000185159,-0.287235,0.010966
7.190000e+10,0.967468943,0.000185590,-0.287259,0.010991
