# Interconnect transfer function for the 77 GHz automotive band.
# PROVENANCE: magnitude resampled from the Tessera collaborator's HFSS
#   S-parameter export 'Case2' (dB(S(Port_Top_6_6,Port_Bot_6_6)) [],
#   0.1-100 GHz, 31 pts).
#   Phase is a MINIMUM-PHASE reconstruction from |S21| (Hilbert transform of
#   ln|H|); the source export carries magnitude only. No collaborator source
#   code is reproduced here or anywhere in this repository -- this file is data.
#   This export carries several independent signal lines; the WORST in-band
#   one was taken (a conservative bound, matching this project's Case3
#   convention). Not taken: dB(S(Port_Top_13_13,Port_Bot_13_13)) []
# In-band 75-81 GHz: -0.288 to -0.279 dB.
# generated 2026-08-18 by e2e/data/interconnect/derive_interconnect_csv.py
# ATTRIBUTION: the interconnect itself was simulated by Mohamed Gharib and
#   Prof. Inna Partin-Vaisband (University of Illinois Chicago). The simulation
#   code is NOT distributed with this repository and is available on request to
#   those authors. This file is their simulation's output, not a measurement.
freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg
7.000000e+10,0.969196028,0.005780589,-0.271613,0.341726
7.005000e+10,0.969198531,0.003651985,-0.271683,0.215892
7.010000e+10,0.969190565,0.003652816,-0.271755,0.215943
7.015000e+10,0.969185015,0.002943727,-0.271826,0.174025
7.020000e+10,0.969177049,0.002944522,-0.271897,0.174074
7.025000e+10,0.969170285,0.002519296,-0.271969,0.148936
7.030000e+10,0.969162320,0.002520077,-0.272040,0.148984
7.035000e+10,0.969155100,0.002216493,-0.272112,0.131037
7.040000e+10,0.969147135,0.002217280,-0.272183,0.131085
7.045000e+10,0.969139684,0.001981271,-0.272254,0.117133
7.050000e+10,0.969131719,0.001982076,-0.272326,0.117182
7.055000e+10,0.969124133,0.001789068,-0.272397,0.105772
7.060000e+10,0.969116169,0.001789898,-0.272468,0.105822
7.065000e+10,0.969108494,0.001626660,-0.272540,0.096172
7.070000e+10,0.969100530,0.001627522,-0.272611,0.096223
7.075000e+10,0.969092795,0.001486116,-0.272682,0.087864
7.080000e+10,0.969084832,0.001487013,-0.272754,0.087917
7.085000e+10,0.969077053,0.001362303,-0.272825,0.080545
7.090000e+10,0.969069090,0.001363240,-0.272897,0.080601
7.095000e+10,0.969061278,0.001251712,-0.272968,0.074007
7.100000e+10,0.969053315,0.001252690,-0.273039,0.074066
7.105000e+10,0.969045478,0.001151836,-0.273111,0.068103
7.110000e+10,0.969037515,0.001152857,-0.273182,0.068164
7.115000e+10,0.969029659,0.001060822,-0.273253,0.062723
7.120000e+10,0.969021696,0.001061888,-0.273325,0.062787
