# Interconnect transfer function for the 77 GHz automotive band.
# PROVENANCE: magnitude resampled from the Tessera collaborator's HFSS
#   S-parameter export 'Case4' (dB(S(Port_Top_6_6,Port_Bot_6_6)) [],
#   0.1-100 GHz, 31 pts).
#   Phase is a MINIMUM-PHASE reconstruction from |S21| (Hilbert transform of
#   ln|H|); the source export carries magnitude only. No collaborator source
#   code is reproduced here or anywhere in this repository -- this file is data.
# In-band 75-81 GHz: -0.260 to -0.259 dB.
# generated 2026-08-18 by notes/tools/derive_interconnect_csv.py
# ATTRIBUTION: the interconnect itself was simulated by Mohamed Gharib and
#   Prof. Inna Partin-Vaisband (University of Illinois Chicago). The simulation
#   code is NOT distributed with this repository and is available on request to
#   those authors. This file is their simulation's output, not a measurement.
freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg
7.000000e+10,0.970733307,0.000792304,-0.257998,0.046764
7.005000e+10,0.970732285,0.000500015,-0.258009,0.029513
7.010000e+10,0.970731085,0.000499907,-0.258020,0.029506
7.015000e+10,0.970729930,0.000402419,-0.258031,0.023752
7.020000e+10,0.970728730,0.000402335,-0.258042,0.023747
7.025000e+10,0.970727553,0.000343819,-0.258052,0.020293
7.030000e+10,0.970726353,0.000343756,-0.258063,0.020290
7.035000e+10,0.970725167,0.000301948,-0.258074,0.017822
7.040000e+10,0.970723968,0.000301903,-0.258085,0.017819
7.045000e+10,0.970722777,0.000269381,-0.258095,0.015900
7.050000e+10,0.970721577,0.000269352,-0.258106,0.015898
7.055000e+10,0.970720385,0.000242741,-0.258117,0.014328
7.060000e+10,0.970719185,0.000242728,-0.258127,0.014327
7.065000e+10,0.970717990,0.000220211,-0.258138,0.012998
7.070000e+10,0.970716791,0.000220212,-0.258149,0.012998
7.075000e+10,0.970715595,0.000200700,-0.258160,0.011846
7.080000e+10,0.970714395,0.000200714,-0.258170,0.011847
7.085000e+10,0.970713199,0.000183500,-0.258181,0.010831
7.090000e+10,0.970711999,0.000183528,-0.258192,0.010833
7.095000e+10,0.970710802,0.000168130,-0.258203,0.009924
7.100000e+10,0.970709602,0.000168171,-0.258213,0.009926
7.105000e+10,0.970708405,0.000154243,-0.258224,0.009104
7.110000e+10,0.970707205,0.000154296,-0.258235,0.009107
7.115000e+10,0.970706007,0.000141585,-0.258246,0.008357
7.120000e+10,0.970704807,0.000141651,-0.258256,0.008361
7.125000e+10,0.970703609,0.000129962,-0.258267,0.007671
7.130000e+10,0.970702409,0.000130039,-0.258278,0.007676
7.135000e+10,0.970701211,0.000119221,-0.258289,0.007037
7.140000e+10,0.970700011,0.000119310,-0.258299,0.007042
7.145000e+10,0.970698812,0.000109245,-0.258310,0.006448
7.150000e+10,0.970697612,0.000109346,-0.258321,0.006454
7.155000e+10,0.970696414,0.000099936,-0.258331,0.005899
7.160000e+10,0.970695214,0.000100048,-0.258342,0.005905
7.165000e+10,0.970694015,0.000091215,-0.258353,0.005384
7.170000e+10,0.970692815,0.000091339,-0.258364,0.005391
7.175000e+10,0.970691616,0.000083017,-0.258374,0.004900
7.180000e+10,0.970690416,0.000083152,-0.258385,0.004908
7.185000e+10,0.970689217,0.000075287,-0.258396,0.004444
7.190000e+10,0.970688017,0.000075434,-0.258407,0.004453
7.195000e+10,0.970686818,0.000067979,-0.258417,0.004013
7.200000e+10,0.970685618,0.000068137,-0.258428,0.004022
7.205000e+10,0.970684419,0.000061052,-0.258439,0.003604
7.210000e+10,0.970683219,0.000061222,-0.258450,0.003614
7.215000e+10,0.970682020,0.000054474,-0.258460,0.003215
7.220000e+10,0.970680820,0.000054655,-0.258471,0.003226
7.225000e+10,0.970679621,0.000048214,-0.258482,0.002846
7.230000e+10,0.970678421,0.000048407,-0.258492,0.002857
7.235000e+10,0.970677221,0.000042248,-0.258503,0.002494
7.240000e+10,0.970676021,0.000042452,-0.258514,0.002506
7.245000e+10,0.970674822,0.000036551,-0.258525,0.002158
7.250000e+10,0.970673622,0.000036767,-0.258535,0.002170
7.255000e+10,0.970672423,0.000031106,-0.258546,0.001836
7.260000e+10,0.970671223,0.000031333,-0.258557,0.001850
7.265000e+10,0.970670023,0.000025893,-0.258568,0.001528
7.270000e+10,0.970668823,0.000026132,-0.258578,0.001543
