# Interconnect transfer function for the 77 GHz automotive band.
# PROVENANCE: magnitude resampled from the Tessera collaborator's HFSS
#   S-parameter export 'Case5' (dB(S(Port_Top_6_6,Port_Bot_6_6)) [],
#   0.1-100 GHz, 31 pts).
#   Phase is a MINIMUM-PHASE reconstruction from |S21| (Hilbert transform of
#   ln|H|); the source export carries magnitude only. No collaborator source
#   code is reproduced here or anywhere in this repository -- this file is data.
# In-band 75-81 GHz: -0.249 to -0.248 dB.
# generated 2026-08-18 by e2e/data/interconnect/derive_interconnect_csv.py
# ATTRIBUTION: the interconnect itself was simulated by Mohamed Gharib and
#   Prof. Inna Partin-Vaisband (University of Illinois Chicago). The simulation
#   code is NOT distributed with this repository and is available on request to
#   those authors. This file is their simulation's output, not a measurement.
freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg
7.000000e+10,0.971966522,0.000867735,-0.246970,0.051152
7.005000e+10,0.971965401,0.000547386,-0.246983,0.032268
7.010000e+10,0.971964073,0.000547262,-0.246994,0.032260
7.015000e+10,0.971962799,0.000440410,-0.247006,0.025962
7.020000e+10,0.971961472,0.000440312,-0.247018,0.025956
7.025000e+10,0.971960171,0.000376173,-0.247030,0.022175
7.030000e+10,0.971958843,0.000376099,-0.247042,0.022171
7.035000e+10,0.971957532,0.000330272,-0.247054,0.019469
7.040000e+10,0.971956204,0.000330218,-0.247066,0.019466
7.045000e+10,0.971954888,0.000294568,-0.247077,0.017365
7.050000e+10,0.971953560,0.000294533,-0.247089,0.017362
7.055000e+10,0.971952241,0.000265363,-0.247101,0.015643
7.060000e+10,0.971950913,0.000265345,-0.247113,0.015642
7.065000e+10,0.971949591,0.000240663,-0.247125,0.014187
7.070000e+10,0.971948264,0.000240661,-0.247137,0.014187
7.075000e+10,0.971946941,0.000219273,-0.247149,0.012926
7.080000e+10,0.971945613,0.000219286,-0.247161,0.012927
7.085000e+10,0.971944289,0.000200417,-0.247172,0.011815
7.090000e+10,0.971942962,0.000200445,-0.247184,0.011816
7.095000e+10,0.971941637,0.000183567,-0.247196,0.010821
7.100000e+10,0.971940309,0.000183610,-0.247208,0.010824
7.105000e+10,0.971938984,0.000168344,-0.247220,0.009924
7.110000e+10,0.971937657,0.000168401,-0.247232,0.009927
7.115000e+10,0.971936331,0.000154469,-0.247244,0.009106
7.120000e+10,0.971935003,0.000154539,-0.247255,0.009110
7.125000e+10,0.971933677,0.000141728,-0.247267,0.008355
7.130000e+10,0.971932350,0.000141812,-0.247279,0.008360
7.135000e+10,0.971931024,0.000129956,-0.247291,0.007661
7.140000e+10,0.971929696,0.000130054,-0.247303,0.007667
7.145000e+10,0.971928369,0.000119022,-0.247315,0.007016
7.150000e+10,0.971927042,0.000119133,-0.247327,0.007023
7.155000e+10,0.971925715,0.000108821,-0.247338,0.006415
7.160000e+10,0.971924387,0.000108945,-0.247350,0.006422
7.165000e+10,0.971923061,0.000099265,-0.247362,0.005852
7.170000e+10,0.971921733,0.000099402,-0.247374,0.005860
7.175000e+10,0.971920406,0.000090283,-0.247386,0.005322
7.180000e+10,0.971919078,0.000090433,-0.247398,0.005331
7.185000e+10,0.971917751,0.000081814,-0.247410,0.004823
7.190000e+10,0.971916424,0.000081978,-0.247422,0.004833
7.195000e+10,0.971915096,0.000073809,-0.247433,0.004351
7.200000e+10,0.971913769,0.000073985,-0.247445,0.004362
7.205000e+10,0.971912441,0.000066224,-0.247457,0.003904
7.210000e+10,0.971911114,0.000066413,-0.247469,0.003915
7.215000e+10,0.971909786,0.000059021,-0.247481,0.003479
7.220000e+10,0.971908459,0.000059223,-0.247493,0.003491
7.225000e+10,0.971907131,0.000052168,-0.247505,0.003075
7.230000e+10,0.971905804,0.000052383,-0.247516,0.003088
7.235000e+10,0.971904476,0.000045637,-0.247528,0.002690
7.240000e+10,0.971903149,0.000045865,-0.247540,0.002704
7.245000e+10,0.971901821,0.000039404,-0.247552,0.002323
7.250000e+10,0.971900493,0.000039645,-0.247564,0.002337
7.255000e+10,0.971899166,0.000033446,-0.247576,0.001972
7.260000e+10,0.971897838,0.000033701,-0.247588,0.001987
7.265000e+10,0.971896511,0.000027745,-0.247600,0.001636
7.270000e+10,0.971895183,0.000028014,-0.247611,0.001651
7.275000e+10,0.971893855,0.000022285,-0.247623,0.001314
7.280000e+10,0.971892528,0.000022567,-0.247635,0.001330
7.285000e+10,0.971891200,0.000017049,-0.247647,0.001005
7.290000e+10,0.971889872,0.000017345,-0.247659,0.001023
7.295000e+10,0.971888545,0.000012025,-0.247671,0.000709
7.300000e+10,0.971887217,0.000012336,-0.247683,0.000727
7.305000e+10,0.971885889,0.000007202,-0.247694,0.000425
7.310000e+10,0.971884562,0.000007528,-0.247706,0.000444
7.315000e+10,0.971883234,0.000002570,-0.247718,0.000152
7.320000e+10,0.971881906,0.000002914,-0.247730,0.000172
7.325000e+10,0.971880578,-0.000001876,-0.247742,-0.000111
7.330000e+10,0.971879251,-0.000001513,-0.247754,-0.000089
7.335000e+10,0.971877923,-0.000006129,-0.247766,-0.000361
7.340000e+10,0.971876626,-0.000005729,-0.247777,-0.000338
7.345000e+10,0.971875337,-0.000010217,-0.247789,-0.000602
7.350000e+10,0.971874048,-0.000009830,-0.247800,-0.000579
7.355000e+10,0.971872759,-0.000014194,-0.247812,-0.000837
7.360000e+10,0.971871470,-0.000013803,-0.247823,-0.000814
7.365000e+10,0.971870181,-0.000018044,-0.247835,-0.001064
7.370000e+10,0.971868892,-0.000017646,-0.247846,-0.001040
7.375000e+10,0.971867603,-0.000021769,-0.247858,-0.001283
7.380000e+10,0.971866314,-0.000021363,-0.247869,-0.001259
7.385000e+10,0.971865025,-0.000025374,-0.247881,-0.001496
7.390000e+10,0.971863736,-0.000024958,-0.247892,-0.001471
7.395000e+10,0.971862447,-0.000028861,-0.247904,-0.001702
7.400000e+10,0.971861157,-0.000028436,-0.247915,-0.001676
7.405000e+10,0.971859868,-0.000032236,-0.247927,-0.001900
7.410000e+10,0.971858579,-0.000031800,-0.247939,-0.001875
7.415000e+10,0.971857290,-0.000035502,-0.247950,-0.002093
7.420000e+10,0.971856001,-0.000035056,-0.247962,-0.002067
7.425000e+10,0.971854712,-0.000038664,-0.247973,-0.002279
7.430000e+10,0.971853423,-0.000038207,-0.247985,-0.002252
7.435000e+10,0.971852134,-0.000041725,-0.247996,-0.002460
7.440000e+10,0.971850845,-0.000041257,-0.248008,-0.002432
7.445000e+10,0.971849556,-0.000044689,-0.248019,-0.002635
7.450000e+10,0.971848267,-0.000044210,-0.248031,-0.002606
7.455000e+10,0.971846978,-0.000047559,-0.248042,-0.002804
7.460000e+10,0.971845689,-0.000047068,-0.248054,-0.002775
7.465000e+10,0.971844399,-0.000050339,-0.248065,-0.002968
7.470000e+10,0.971843110,-0.000049836,-0.248077,-0.002938
7.475000e+10,0.971841821,-0.000053030,-0.248088,-0.003126
7.480000e+10,0.971840532,-0.000052516,-0.248100,-0.003096
7.485000e+10,0.971839243,-0.000055637,-0.248111,-0.003280
7.490000e+10,0.971837954,-0.000055111,-0.248123,-0.003249
7.495000e+10,0.971836665,-0.000058161,-0.248134,-0.003429
7.500000e+10,0.971835376,-0.000057623,-0.248146,-0.003397
7.505000e+10,0.971834087,-0.000060605,-0.248157,-0.003573
7.510000e+10,0.971832798,-0.000060055,-0.248169,-0.003541
7.515000e+10,0.971831509,-0.000062971,-0.248180,-0.003713
7.520000e+10,0.971830220,-0.000062409,-0.248192,-0.003679
7.525000e+10,0.971828931,-0.000065262,-0.248204,-0.003848
7.530000e+10,0.971827642,-0.000064687,-0.248215,-0.003814
7.535000e+10,0.971826353,-0.000067479,-0.248227,-0.003978
7.540000e+10,0.971825064,-0.000066891,-0.248238,-0.003944
7.545000e+10,0.971823774,-0.000069624,-0.248250,-0.004105
7.550000e+10,0.971822485,-0.000069024,-0.248261,-0.004069
7.555000e+10,0.971821196,-0.000071699,-0.248273,-0.004227
7.560000e+10,0.971819907,-0.000071086,-0.248284,-0.004191
7.565000e+10,0.971818618,-0.000073706,-0.248296,-0.004346
7.570000e+10,0.971817329,-0.000073079,-0.248307,-0.004309
7.575000e+10,0.971816040,-0.000075646,-0.248319,-0.004460
7.580000e+10,0.971814751,-0.000075006,-0.248330,-0.004422
7.585000e+10,0.971813462,-0.000077520,-0.248342,-0.004570
7.590000e+10,0.971812173,-0.000076866,-0.248353,-0.004532
7.595000e+10,0.971810884,-0.000079329,-0.248365,-0.004677
7.600000e+10,0.971809595,-0.000078662,-0.248376,-0.004638
7.605000e+10,0.971808306,-0.000081075,-0.248388,-0.004780
7.610000e+10,0.971807017,-0.000080394,-0.248399,-0.004740
7.615000e+10,0.971805728,-0.000082759,-0.248411,-0.004879
7.620000e+10,0.971804439,-0.000082063,-0.248422,-0.004838
7.625000e+10,0.971803150,-0.000084381,-0.248434,-0.004975
7.630000e+10,0.971801861,-0.000083669,-0.248445,-0.004933
7.635000e+10,0.971800572,-0.000085941,-0.248457,-0.005067
7.640000e+10,0.971799283,-0.000085214,-0.248468,-0.005024
7.645000e+10,0.971797994,-0.000087440,-0.248480,-0.005155
7.650000e+10,0.971796705,-0.000086695,-0.248492,-0.005111
7.655000e+10,0.971795416,-0.000088875,-0.248503,-0.005240
7.660000e+10,0.971794127,-0.000088110,-0.248515,-0.005195
7.665000e+10,0.971792838,-0.000090240,-0.248526,-0.005320
7.670000e+10,0.971791555,-0.000089441,-0.248538,-0.005273
7.675000e+10,0.971790298,-0.000091519,-0.248549,-0.005396
7.680000e+10,0.971789042,-0.000090728,-0.248560,-0.005349
7.685000e+10,0.971787785,-0.000092785,-0.248571,-0.005471
7.690000e+10,0.971786528,-0.000091987,-0.248582,-0.005423
7.695000e+10,0.971785271,-0.000094013,-0.248594,-0.005543
7.700000e+10,0.971784014,-0.000093205,-0.248605,-0.005495
7.705000e+10,0.971782757,-0.000095199,-0.248616,-0.005613
7.710000e+10,0.971781500,-0.000094380,-0.248627,-0.005565
7.715000e+10,0.971780243,-0.000096340,-0.248639,-0.005680
7.720000e+10,0.971778987,-0.000095510,-0.248650,-0.005631
7.725000e+10,0.971777730,-0.000097438,-0.248661,-0.005745
7.730000e+10,0.971776473,-0.000096595,-0.248672,-0.005695
7.735000e+10,0.971775216,-0.000098491,-0.248684,-0.005807
7.740000e+10,0.971773959,-0.000097636,-0.248695,-0.005757
7.745000e+10,0.971772702,-0.000099500,-0.248706,-0.005867
7.750000e+10,0.971771446,-0.000098631,-0.248717,-0.005815
7.755000e+10,0.971770189,-0.000100465,-0.248729,-0.005923
7.760000e+10,0.971768932,-0.000099583,-0.248740,-0.005871
7.765000e+10,0.971767675,-0.000101386,-0.248751,-0.005978
7.770000e+10,0.971766418,-0.000100490,-0.248762,-0.005925
7.775000e+10,0.971765161,-0.000102263,-0.248773,-0.006029
7.780000e+10,0.971763905,-0.000101353,-0.248785,-0.005976
7.785000e+10,0.971762648,-0.000103097,-0.248796,-0.006079
7.790000e+10,0.971761391,-0.000102173,-0.248807,-0.006024
7.795000e+10,0.971760134,-0.000103888,-0.248818,-0.006125
7.800000e+10,0.971758877,-0.000102949,-0.248830,-0.006070
7.805000e+10,0.971757620,-0.000104636,-0.248841,-0.006169
7.810000e+10,0.971756364,-0.000103682,-0.248852,-0.006113
7.815000e+10,0.971755107,-0.000105342,-0.248863,-0.006211
7.820000e+10,0.971753850,-0.000104373,-0.248875,-0.006154
7.825000e+10,0.971752593,-0.000106005,-0.248886,-0.006250
7.830000e+10,0.971751337,-0.000105021,-0.248897,-0.006192
7.835000e+10,0.971750080,-0.000106626,-0.248908,-0.006287
7.840000e+10,0.971748823,-0.000105627,-0.248919,-0.006228
7.845000e+10,0.971747566,-0.000107206,-0.248931,-0.006321
7.850000e+10,0.971746309,-0.000106191,-0.248942,-0.006261
7.855000e+10,0.971745053,-0.000107744,-0.248953,-0.006353
7.860000e+10,0.971743796,-0.000106713,-0.248964,-0.006292
7.865000e+10,0.971742539,-0.000108241,-0.248976,-0.006382
7.870000e+10,0.971741282,-0.000107194,-0.248987,-0.006320
7.875000e+10,0.971740025,-0.000108697,-0.248998,-0.006409
7.880000e+10,0.971738769,-0.000107633,-0.249009,-0.006346
7.885000e+10,0.971737512,-0.000109111,-0.249021,-0.006433
7.890000e+10,0.971736255,-0.000108030,-0.249032,-0.006370
7.895000e+10,0.971734998,-0.000109485,-0.249043,-0.006455
7.900000e+10,0.971733742,-0.000108387,-0.249054,-0.006391
7.905000e+10,0.971732485,-0.000109817,-0.249066,-0.006475
7.910000e+10,0.971731228,-0.000108702,-0.249077,-0.006409
7.915000e+10,0.971729971,-0.000110109,-0.249088,-0.006492
7.920000e+10,0.971728715,-0.000108976,-0.249099,-0.006425
7.925000e+10,0.971727458,-0.000110359,-0.249110,-0.006507
7.930000e+10,0.971726201,-0.000109208,-0.249122,-0.006439
7.935000e+10,0.971724944,-0.000110569,-0.249133,-0.006519
7.940000e+10,0.971723688,-0.000109399,-0.249144,-0.006450
7.945000e+10,0.971722431,-0.000110737,-0.249155,-0.006529
7.950000e+10,0.971721174,-0.000109548,-0.249167,-0.006459
7.955000e+10,0.971719917,-0.000110863,-0.249178,-0.006537
7.960000e+10,0.971718661,-0.000109654,-0.249189,-0.006466
7.965000e+10,0.971717404,-0.000110947,-0.249200,-0.006542
7.970000e+10,0.971716147,-0.000109718,-0.249212,-0.006469
7.975000e+10,0.971714891,-0.000110988,-0.249223,-0.006544
7.980000e+10,0.971713634,-0.000109738,-0.249234,-0.006471
7.985000e+10,0.971712377,-0.000110985,-0.249245,-0.006544
7.990000e+10,0.971711121,-0.000109710,-0.249256,-0.006469
7.995000e+10,0.971709864,-0.000110932,-0.249268,-0.006541
8.000000e+10,0.971708607,-0.000109627,-0.249279,-0.006464
8.005000e+10,0.971707365,-0.000110813,-0.249290,-0.006534
8.010000e+10,0.971706134,-0.000109492,-0.249301,-0.006456
8.015000e+10,0.971704902,-0.000110675,-0.249312,-0.006526
8.020000e+10,0.971703671,-0.000109344,-0.249323,-0.006447
8.025000e+10,0.971702439,-0.000110513,-0.249334,-0.006516
8.030000e+10,0.971701208,-0.000109165,-0.249345,-0.006437
8.035000e+10,0.971699976,-0.000110319,-0.249356,-0.006505
8.040000e+10,0.971698745,-0.000108954,-0.249367,-0.006424
8.045000e+10,0.971697513,-0.000110092,-0.249378,-0.006492
8.050000e+10,0.971696282,-0.000108707,-0.249389,-0.006410
8.055000e+10,0.971695050,-0.000109829,-0.249400,-0.006476
8.060000e+10,0.971693819,-0.000108425,-0.249411,-0.006393
8.065000e+10,0.971692587,-0.000109530,-0.249422,-0.006458
8.070000e+10,0.971691356,-0.000108106,-0.249433,-0.006374
8.075000e+10,0.971690124,-0.000109194,-0.249444,-0.006439
8.080000e+10,0.971688893,-0.000107749,-0.249455,-0.006353
8.085000e+10,0.971687662,-0.000108821,-0.249466,-0.006417
8.090000e+10,0.971686430,-0.000107355,-0.249477,-0.006330
8.095000e+10,0.971685199,-0.000108411,-0.249488,-0.006392
8.100000e+10,0.971683967,-0.000106922,-0.249499,-0.006305
8.105000e+10,0.971682736,-0.000107962,-0.249510,-0.006366
8.110000e+10,0.971681504,-0.000106451,-0.249521,-0.006277
8.115000e+10,0.971680273,-0.000107475,-0.249532,-0.006337
8.120000e+10,0.971679041,-0.000105941,-0.249543,-0.006247
8.125000e+10,0.971677810,-0.000106949,-0.249554,-0.006306
8.130000e+10,0.971676578,-0.000105391,-0.249565,-0.006214
8.135000e+10,0.971675347,-0.000106384,-0.249576,-0.006273
8.140000e+10,0.971674116,-0.000104802,-0.249587,-0.006180
8.145000e+10,0.971672884,-0.000105779,-0.249598,-0.006237
8.150000e+10,0.971671653,-0.000104173,-0.249609,-0.006143
8.155000e+10,0.971670421,-0.000105134,-0.249620,-0.006199
8.160000e+10,0.971669190,-0.000103503,-0.249631,-0.006103
8.165000e+10,0.971667958,-0.000104449,-0.249642,-0.006159
8.170000e+10,0.971666727,-0.000102791,-0.249653,-0.006061
