# Interconnect transfer function for the 77 GHz automotive band.
# PROVENANCE: magnitude resampled from the Tessera collaborator's HFSS
#   S-parameter export 'Case6' (dB(S(Port_Top_3_3,Port_Bot_3_3)) [],
#   0.1-100 GHz, 31 pts).
#   Phase is a MINIMUM-PHASE reconstruction from |S21| (Hilbert transform of
#   ln|H|); the source export carries magnitude only. No collaborator source
#   code is reproduced here or anywhere in this repository -- this file is data.
#   This export carries several independent signal lines; the WORST in-band
#   one was taken (a conservative bound, matching this project's Case3
#   convention). Not taken: dB(S(Port_Top_6_6,Port_Bot_6_6)) []
# In-band 75-81 GHz: -0.249 to -0.248 dB.
# generated 2026-08-18 by notes/tools/derive_interconnect_csv.py
# ATTRIBUTION: the interconnect itself was simulated by Mohamed Gharib and
#   Prof. Inna Partin-Vaisband (University of Illinois Chicago). The simulation
#   code is NOT distributed with this repository and is available on request to
#   those authors. This file is their simulation's output, not a measurement.
freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg
7.000000e+10,0.972028720,0.000858081,-0.246415,0.050579
7.005000e+10,0.972027607,0.000541289,-0.246427,0.031906
7.010000e+10,0.972026292,0.000541164,-0.246438,0.031899
7.015000e+10,0.972025031,0.000435497,-0.246450,0.025670
7.020000e+10,0.972023716,0.000435397,-0.246462,0.025664
7.025000e+10,0.972022428,0.000371968,-0.246474,0.021926
7.030000e+10,0.972021113,0.000371892,-0.246485,0.021921
7.035000e+10,0.972019815,0.000326572,-0.246497,0.019250
7.040000e+10,0.972018501,0.000326516,-0.246509,0.019247
7.045000e+10,0.972017197,0.000291261,-0.246521,0.017168
7.050000e+10,0.972015883,0.000291224,-0.246532,0.017166
7.055000e+10,0.972014576,0.000262377,-0.246544,0.015466
7.060000e+10,0.972013262,0.000262357,-0.246556,0.015465
7.065000e+10,0.972011954,0.000237948,-0.246568,0.014026
7.070000e+10,0.972010639,0.000237944,-0.246579,0.014026
7.075000e+10,0.972009329,0.000216792,-0.246591,0.012779
7.080000e+10,0.972008015,0.000216803,-0.246603,0.012780
7.085000e+10,0.972006704,0.000198143,-0.246615,0.011680
7.090000e+10,0.972005390,0.000198169,-0.246626,0.011681
7.095000e+10,0.972004079,0.000181477,-0.246638,0.010697
7.100000e+10,0.972002764,0.000181518,-0.246650,0.010700
7.105000e+10,0.972001452,0.000166421,-0.246662,0.009810
7.110000e+10,0.972000138,0.000166475,-0.246673,0.009813
7.115000e+10,0.971998825,0.000152697,-0.246685,0.009001
7.120000e+10,0.971997511,0.000152765,-0.246697,0.009005
7.125000e+10,0.971996198,0.000140095,-0.246709,0.008258
7.130000e+10,0.971994884,0.000140177,-0.246720,0.008263
7.135000e+10,0.971993571,0.000128452,-0.246732,0.007572
7.140000e+10,0.971992256,0.000128547,-0.246744,0.007577
7.145000e+10,0.971990943,0.000117638,-0.246756,0.006934
7.150000e+10,0.971989629,0.000117746,-0.246767,0.006941
7.155000e+10,0.971988315,0.000107547,-0.246779,0.006340
7.160000e+10,0.971987001,0.000107669,-0.246791,0.006347
7.165000e+10,0.971985687,0.000098096,-0.246803,0.005782
7.170000e+10,0.971984373,0.000098231,-0.246814,0.005790
7.175000e+10,0.971983059,0.000089212,-0.246826,0.005259
7.180000e+10,0.971981745,0.000089360,-0.246838,0.005268
7.185000e+10,0.971980431,0.000080836,-0.246850,0.004765
7.190000e+10,0.971979116,0.000080997,-0.246861,0.004775
7.195000e+10,0.971977802,0.000072919,-0.246873,0.004298
7.200000e+10,0.971976488,0.000073092,-0.246885,0.004309
7.205000e+10,0.971975174,0.000065416,-0.246897,0.003856
7.210000e+10,0.971973859,0.000065603,-0.246908,0.003867
7.215000e+10,0.971972545,0.000058292,-0.246920,0.003436
7.220000e+10,0.971971231,0.000058492,-0.246932,0.003448
7.225000e+10,0.971969917,0.000051514,-0.246944,0.003037
7.230000e+10,0.971968602,0.000051727,-0.246955,0.003049
7.235000e+10,0.971967288,0.000045055,-0.246967,0.002656
7.240000e+10,0.971965974,0.000045281,-0.246979,0.002669
7.245000e+10,0.971964659,0.000038890,-0.246991,0.002293
7.250000e+10,0.971963345,0.000039129,-0.247002,0.002307
7.255000e+10,0.971962031,0.000032999,-0.247014,0.001945
7.260000e+10,0.971960716,0.000033250,-0.247026,0.001960
7.265000e+10,0.971959402,0.000027361,-0.247037,0.001613
7.270000e+10,0.971958087,0.000027626,-0.247049,0.001629
7.275000e+10,0.971956773,0.000021960,-0.247061,0.001295
7.280000e+10,0.971955459,0.000022239,-0.247073,0.001311
7.285000e+10,0.971954144,0.000016782,-0.247084,0.000989
7.290000e+10,0.971952830,0.000017075,-0.247096,0.001007
7.295000e+10,0.971951515,0.000011814,-0.247108,0.000696
7.300000e+10,0.971950201,0.000012122,-0.247120,0.000715
7.305000e+10,0.971948887,0.000007045,-0.247131,0.000415
7.310000e+10,0.971947572,0.000007368,-0.247143,0.000434
7.315000e+10,0.971946258,0.000002465,-0.247155,0.000145
7.320000e+10,0.971944943,0.000002804,-0.247167,0.000165
7.325000e+10,0.971943629,-0.000001931,-0.247178,-0.000114
7.330000e+10,0.971942314,-0.000001572,-0.247190,-0.000093
7.335000e+10,0.971941000,-0.000006136,-0.247202,-0.000362
7.340000e+10,0.971939716,-0.000005740,-0.247213,-0.000338
7.345000e+10,0.971938441,-0.000010177,-0.247225,-0.000600
7.350000e+10,0.971937165,-0.000009794,-0.247236,-0.000577
7.355000e+10,0.971935890,-0.000014109,-0.247248,-0.000832
7.360000e+10,0.971934614,-0.000013722,-0.247259,-0.000809
7.365000e+10,0.971933338,-0.000017916,-0.247270,-0.001056
7.370000e+10,0.971932063,-0.000017523,-0.247282,-0.001033
7.375000e+10,0.971930787,-0.000021600,-0.247293,-0.001273
7.380000e+10,0.971929511,-0.000021198,-0.247305,-0.001250
7.385000e+10,0.971928236,-0.000025164,-0.247316,-0.001483
7.390000e+10,0.971926960,-0.000024752,-0.247327,-0.001459
7.395000e+10,0.971925684,-0.000028612,-0.247339,-0.001687
7.400000e+10,0.971924409,-0.000028191,-0.247350,-0.001662
7.405000e+10,0.971923133,-0.000031949,-0.247362,-0.001883
7.410000e+10,0.971921858,-0.000031518,-0.247373,-0.001858
7.415000e+10,0.971920582,-0.000035179,-0.247384,-0.002074
7.420000e+10,0.971919306,-0.000034737,-0.247396,-0.002048
7.425000e+10,0.971918031,-0.000038305,-0.247407,-0.002258
7.430000e+10,0.971916755,-0.000037852,-0.247419,-0.002231
7.435000e+10,0.971915479,-0.000041331,-0.247430,-0.002437
7.440000e+10,0.971914204,-0.000040868,-0.247441,-0.002409
7.445000e+10,0.971912928,-0.000044262,-0.247453,-0.002609
7.450000e+10,0.971911653,-0.000043787,-0.247464,-0.002581
7.455000e+10,0.971910377,-0.000047100,-0.247476,-0.002777
7.460000e+10,0.971909101,-0.000046614,-0.247487,-0.002748
7.465000e+10,0.971907826,-0.000049848,-0.247498,-0.002939
7.470000e+10,0.971906550,-0.000049350,-0.247510,-0.002909
7.475000e+10,0.971905274,-0.000052509,-0.247521,-0.003096
7.480000e+10,0.971903999,-0.000052000,-0.247533,-0.003066
7.485000e+10,0.971902723,-0.000055086,-0.247544,-0.003247
7.490000e+10,0.971901448,-0.000054565,-0.247555,-0.003217
7.495000e+10,0.971900172,-0.000057581,-0.247567,-0.003395
7.500000e+10,0.971898896,-0.000057049,-0.247578,-0.003363
7.505000e+10,0.971897621,-0.000059998,-0.247590,-0.003537
7.510000e+10,0.971896345,-0.000059453,-0.247601,-0.003505
7.515000e+10,0.971895069,-0.000062337,-0.247612,-0.003675
7.520000e+10,0.971893794,-0.000061780,-0.247624,-0.003642
7.525000e+10,0.971892518,-0.000064602,-0.247635,-0.003808
7.530000e+10,0.971891243,-0.000064033,-0.247647,-0.003775
7.535000e+10,0.971889967,-0.000066793,-0.247658,-0.003938
7.540000e+10,0.971888691,-0.000066212,-0.247669,-0.003903
7.545000e+10,0.971887416,-0.000068914,-0.247681,-0.004063
7.550000e+10,0.971886140,-0.000068320,-0.247692,-0.004028
