# Tessera TSV interconnect transfer function (single signal line, center signal + ground ring).
# geometry: radius=5um pitch=60um height=100um liner=0.5um. See README.md for provenance/caveats.
# columns: freq_hz, s21_re, s21_im, s21_abs_db, s21_phase_deg, s11_re, s11_im, s11_abs_db
freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg,s11_re,s11_im,s11_abs_db
1.000000e+09,9.75312831e-01,5.70321776e-02,-0.2023,3.3466,1.24537097e-02,-2.12972104e-01,-13.4187
1.250000e+09,9.75890835e-01,7.27904366e-02,-0.1879,4.2657,1.53051202e-02,-2.05193528e-01,-13.7326
1.500000e+09,9.75843688e-01,8.65893996e-02,-0.1783,5.0707,1.77281688e-02,-1.99792604e-01,-13.9544
1.750000e+09,9.74727041e-01,9.93547634e-02,-0.1774,5.8201,2.02901653e-02,-1.99058123e-01,-13.9755
2.000000e+09,9.72589521e-01,1.11314965e-01,-0.1849,6.5292,2.32142432e-02,-2.02829240e-01,-13.8009
2.250000e+09,9.69601716e-01,1.22394266e-01,-0.1995,7.1945,2.65350613e-02,-2.10209528e-01,-13.4783
2.500000e+09,9.65769619e-01,1.32565289e-01,-0.2215,7.8158,3.03213719e-02,-2.20898397e-01,-13.0351
2.750000e+09,9.60861102e-01,1.41846534e-01,-0.2532,8.3976,3.47522317e-02,-2.35409825e-01,-12.4699
3.000000e+09,9.54515506e-01,1.50077626e-01,-0.2983,8.9354,4.00164433e-02,-2.54510393e-01,-11.7798
3.250000e+09,9.46412945e-01,1.56740645e-01,-0.3609,9.4037,4.61370055e-02,-2.78579045e-01,-10.9835
3.500000e+09,9.36368378e-01,1.61009487e-01,-0.4445,9.7567,5.28581489e-02,-3.07402378e-01,-10.1193
3.750000e+09,9.24314416e-01,1.61963093e-01,-0.5523,9.9388,5.96418662e-02,-3.40372833e-01,-9.2296
4.000000e+09,9.10206281e-01,1.58807433e-01,-0.6870,9.8970,6.57428556e-02,-3.76805789e-01,-8.3474
4.250000e+09,8.93920838e-01,1.51000090e-01,-0.8518,9.5878,7.02920749e-02,-4.16129226e-01,-7.4933
4.500000e+09,8.75198866e-01,1.38298529e-01,-1.0508,8.9796,7.23558875e-02,-4.57892004e-01,-6.6776
4.750000e+09,8.53632161e-01,1.20777003e-01,-1.2885,8.0531,7.09812467e-02,-5.01683876e-01,-5.9053
5.000000e+09,8.28679984e-01,9.88192115e-02,-1.5709,6.8003,6.52356628e-02,-5.47054436e-01,-5.1781
5.250000e+09,7.99724610e-01,7.31104723e-02,-1.9050,5.2234,5.42505795e-02,-5.93424200e-01,-4.4965
5.500000e+09,7.66144781e-01,4.46147835e-02,-2.2991,3.3327,3.72709518e-02,-6.40033258e-01,-3.8612
5.750000e+09,7.27449736e-01,1.45745691e-02,-2.7622,1.1478,1.37414831e-02,-6.85868526e-01,-3.2734
6.000000e+09,6.83418341e-01,-1.55332601e-02,-3.3040,-1.3020,-1.65845772e-02,-7.29673242e-01,-2.7352
6.250000e+09,6.34277296e-01,-4.40759512e-02,-3.9335,-3.9751,-5.35067244e-02,-7.69991333e-01,-2.2494
6.500000e+09,5.80837983e-01,-6.94288451e-02,-4.6573,-6.8163,-9.62616948e-02,-8.05320160e-01,-1.8190
6.750000e+09,5.24556138e-01,-9.02107830e-02,-5.4776,-9.7580,-1.43485145e-01,-8.34334996e-01,-1.4466
7.000000e+09,4.67419996e-01,-1.05552500e-01,-6.3899,-12.7251,-1.93336010e-01,-8.56153260e-01,-1.1330
7.250000e+09,4.11710353e-01,-1.15279838e-01,-7.3804,-15.6424,-2.43745676e-01,-8.70513176e-01,-0.8767
7.500000e+09,3.59658503e-01,-1.19950710e-01,-8.4242,-18.4442,-2.92760565e-01,-8.77809114e-01,-0.6740
7.750000e+09,3.13177881e-01,-1.20716714e-01,-9.4826,-21.0795,-3.38799657e-01,-8.78954994e-01,-0.5191
8.000000e+09,2.73645354e-01,-1.19078453e-01,-10.5031,-23.5166,-3.80831466e-01,-8.75160521e-01,-0.4051
8.250000e+09,2.41807817e-01,-1.16598735e-01,-11.4227,-25.7432,-4.18394770e-01,-8.67686309e-01,-0.3248
