# Tessera TSV -- PUBLIC checkpoint, DIRECT evaluation (not the scale model).
# geometry: radius 5 um, pitch 60 um, height 100 um, liner 0.5 um, 300 K -- SHIPPED_TSV_DESIGN, upstream's own canonical demo geometry (README quickstart / examples/predict_smatrix.py / config.yaml optimization.fixed_params; see F90 in notes/ESTABLISHED_FACTS.md)
# arrangement: ring3x3 (one center signal via, ground ring)
# checkpoint: models/best_model.pth, commit e53bb885429586fb01209c82bb5c684f778b8cf4, sha256 97fb2a651bf475d124609e16e0feeecd7e97c8e1d5f494696bab9b838c6d3e09
# wrapper: e2e_sim_public commit 88f6240434f6371b37db45c8fb909f19b6b6bfb7, TesseraTSV.OUTPUT_VERSION=1
# scale: 1.0 -- this is the DIRECT evaluation at the geometry above, NOT the scale model (see tessera_tsv_s21_public_ka_scaled.csv for that)
# generated: 2026-09-23
# command: python -m e2e.data.interconnect.regenerate_tessera_tsv
# phase is the surrogate's OWN phase (not a minimum-phase reconstruction).
# columns: freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg,s11_re,s11_im,s11_abs_db
freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg,s11_re,s11_im,s11_abs_db
1.000000e+09,9.50788021e-01,-3.49268019e-02,-0.432469,-2.103791,-1.97788551e-02,-1.03111714e-02,-33.031865
1.250000e+09,9.50393081e-01,-3.72065902e-02,-0.435284,-2.241907,-2.05224529e-02,-1.07983351e-02,-32.693993
1.500000e+09,9.49995160e-01,-3.94782051e-02,-0.438079,-2.379627,-2.12595835e-02,-1.12764202e-02,-32.372258
1.750000e+09,9.49594140e-01,-4.17416990e-02,-0.440856,-2.516954,-2.19902024e-02,-1.17456801e-02,-32.065379
2.000000e+09,9.49189901e-01,-4.39971685e-02,-0.443617,-2.653894,-2.27143243e-02,-1.22062862e-02,-31.772215
2.250000e+09,9.48783159e-01,-4.62446287e-02,-0.446355,-2.790445,-2.34319493e-02,-1.26583949e-02,-31.491754
2.500000e+09,9.48373616e-01,-4.84841019e-02,-0.449075,-2.926608,-2.41429582e-02,-1.31021813e-02,-31.223122
2.750000e+09,9.47961211e-01,-5.07158376e-02,-0.451776,-3.062399,-2.48474851e-02,-1.35378502e-02,-30.965460
3.000000e+09,9.47546303e-01,-5.29396236e-02,-0.454456,-3.197803,-2.55454257e-02,-1.39655545e-02,-30.718062
3.250000e+09,9.47129011e-01,-5.51556498e-02,-0.457114,-3.332831,-2.62367800e-02,-1.43854544e-02,-30.480266
3.500000e+09,9.46709394e-01,-5.73640205e-02,-0.459750,-3.467487,-2.69215256e-02,-1.47977918e-02,-30.251462
3.750000e+09,9.46287453e-01,-5.95647246e-02,-0.462365,-3.601771,-2.75996700e-02,-1.52026489e-02,-30.031110
4.000000e+09,9.45863008e-01,-6.17577396e-02,-0.464960,-3.735681,-2.82712057e-02,-1.56002417e-02,-29.818704
4.250000e+09,9.45436835e-01,-6.39432296e-02,-0.467529,-3.869223,-2.89360806e-02,-1.59907117e-02,-29.613800
4.500000e+09,9.45008576e-01,-6.61212131e-02,-0.470075,-4.002400,-2.95943245e-02,-1.63742229e-02,-29.415970
4.750000e+09,9.44578528e-01,-6.82918131e-02,-0.472597,-4.135216,-3.02459374e-02,-1.67509913e-02,-29.224822
5.000000e+09,9.44146633e-01,-7.04550073e-02,-0.475094,-4.267670,-3.08908969e-02,-1.71210691e-02,-29.040017
5.250000e+09,9.43712950e-01,-7.26108775e-02,-0.477567,-4.399766,-3.15291733e-02,-1.74847245e-02,-28.861220
5.500000e+09,9.43277359e-01,-7.47595653e-02,-0.480017,-4.531512,-3.21607739e-02,-1.78420842e-02,-28.688128
5.750000e+09,9.42840457e-01,-7.69010112e-02,-0.482440,-4.662901,-3.27857360e-02,-1.81932598e-02,-28.520458
6.000000e+09,9.42402184e-01,-7.90353343e-02,-0.484835,-4.793939,-3.34040299e-02,-1.85384601e-02,-28.357948
6.250000e+09,9.41962361e-01,-8.11626986e-02,-0.487205,-4.924637,-3.40156332e-02,-1.88777372e-02,-28.200370
6.500000e+09,9.41521287e-01,-8.32830071e-02,-0.489548,-5.054987,-3.46205309e-02,-1.92113444e-02,-28.047490
6.750000e+09,9.41079021e-01,-8.53964314e-02,-0.491863,-5.184996,-3.52187678e-02,-1.95393935e-02,-27.899091
7.000000e+09,9.40635443e-01,-8.75030383e-02,-0.494152,-5.314670,-3.58103290e-02,-1.98620260e-02,-27.754981
7.250000e+09,9.40190792e-01,-8.96028355e-02,-0.496413,-5.444007,-3.63952070e-02,-2.01793909e-02,-27.614975
7.500000e+09,9.39745188e-01,-9.16960016e-02,-0.498644,-5.573016,-3.69734019e-02,-2.04916149e-02,-27.478903
7.750000e+09,9.39298987e-01,-9.37824398e-02,-0.500844,-5.701687,-3.75449657e-02,-2.07988396e-02,-27.346594
8.000000e+09,9.38851357e-01,-9.58623663e-02,-0.503020,-5.830039,-3.81098092e-02,-2.11011991e-02,-27.217912
8.250000e+09,9.38403130e-01,-9.79358926e-02,-0.505164,-5.958071,-3.86680886e-02,-2.13988274e-02,-27.092687
8.500000e+09,9.37954187e-01,-1.00002997e-01,-0.507278,-6.085783,-3.92196104e-02,-2.16918737e-02,-26.970816
8.750000e+09,9.37504649e-01,-1.02063738e-01,-0.509361,-6.213176,-3.97645608e-02,-2.19804272e-02,-26.852147
9.000000e+09,9.37054217e-01,-1.04118280e-01,-0.511416,-6.340261,-4.03029025e-02,-2.22646743e-02,-26.736560
9.250000e+09,9.36603546e-01,-1.06166668e-01,-0.513438,-6.467035,-4.08346057e-02,-2.25446969e-02,-26.623953
9.500000e+09,9.36152339e-01,-1.08208939e-01,-0.515428,-6.593503,-4.13597152e-02,-2.28206366e-02,-26.514211
9.750000e+09,9.35700655e-01,-1.10245183e-01,-0.517388,-6.719666,-4.18782160e-02,-2.30926201e-02,-26.407236
1.000000e+10,9.35248494e-01,-1.12275533e-01,-0.519317,-6.845534,-4.23901752e-02,-2.33607590e-02,-26.302922
1.025000e+10,9.34796095e-01,-1.14300050e-01,-0.521213,-6.971107,-4.28955629e-02,-2.36251727e-02,-26.201186
1.050000e+10,9.34343219e-01,-1.16318844e-01,-0.523079,-7.096392,-4.33944240e-02,-2.38859877e-02,-26.101933
1.075000e+10,9.33890224e-01,-1.18331939e-01,-0.524911,-7.221386,-4.38867956e-02,-2.41432860e-02,-26.005082
1.100000e+10,9.33437109e-01,-1.20339610e-01,-0.526710,-7.346107,-4.43726555e-02,-2.43972391e-02,-25.910552
1.125000e+10,9.32983637e-01,-1.22341558e-01,-0.528478,-7.470536,-4.48520407e-02,-2.46478915e-02,-25.818273
1.150000e+10,9.32530165e-01,-1.24338210e-01,-0.530212,-7.594695,-4.53249887e-02,-2.48954147e-02,-25.728165
1.175000e+10,9.32076514e-01,-1.26329526e-01,-0.531913,-7.718583,-4.57915664e-02,-2.51398534e-02,-25.640156
1.200000e+10,9.31622982e-01,-1.28315583e-01,-0.533580,-7.842200,-4.62517291e-02,-2.53813639e-02,-25.554187
1.225000e+10,9.31169033e-01,-1.30296588e-01,-0.535217,-7.965562,-4.67054993e-02,-2.56200135e-02,-25.470199
1.250000e+10,9.30715442e-01,-1.32272512e-01,-0.536818,-8.088661,-4.71529588e-02,-2.58559063e-02,-25.388123
1.275000e+10,9.30261791e-01,-1.34243414e-01,-0.538385,-8.211503,-4.75941598e-02,-2.60891691e-02,-25.307895
1.300000e+10,9.29808140e-01,-1.36209458e-01,-0.539920,-8.334095,-4.80290651e-02,-2.63198912e-02,-25.229471
1.325000e+10,9.29354429e-01,-1.38170794e-01,-0.541422,-8.456446,-4.84577417e-02,-2.65481398e-02,-25.152794
1.350000e+10,9.28901196e-01,-1.40127391e-01,-0.542887,-8.578549,-4.88802418e-02,-2.67740116e-02,-25.077810
1.375000e+10,9.28447604e-01,-1.42079383e-01,-0.544322,-8.700418,-4.92965803e-02,-2.69976333e-02,-25.004469
1.400000e+10,9.27994370e-01,-1.44026965e-01,-0.545721,-8.822058,-4.97068092e-02,-2.72190794e-02,-24.932724
1.425000e+10,9.27541137e-01,-1.45970047e-01,-0.547088,-8.943465,-5.01109660e-02,-2.74383947e-02,-24.862533
1.450000e+10,9.27088141e-01,-1.47908807e-01,-0.548420,-9.064647,-5.05090281e-02,-2.76557133e-02,-24.793854
1.475000e+10,9.26635087e-01,-1.49843469e-01,-0.549720,-9.185619,-5.09011671e-02,-2.78711095e-02,-24.726630
