# Tessera TSV -- PUBLIC checkpoint, SCALE-MODEL evaluation at the pipeline's Ka band. This IS InterconnectBlock(source='tessera')'s DEFAULT over 28.5-31.5 GHz (band_hz with scale=None), NOT a direct evaluation of the shipped geometry at these frequencies -- compare against the in-band slice of tessera_tsv_s21_public.csv, which differs measurably (see each file's in-band mean/ripple in e2e/data/interconnect/README.md).
# presented geometry: radius 2.5 um, pitch 30 um, height 50 um, liner 0.25 um, 300 K
# model geometry actually evaluated: radius 5 um, pitch 60 um, height 100 um, liner 0.5 um, 300 K -- scale x2 applied to all four lengths together (F91), frequency evaluated at /2 and reported at the real Ka frequencies
# arrangement: ring3x3
# checkpoint: models/best_model.pth, commit e53bb885429586fb01209c82bb5c684f778b8cf4, sha256 97fb2a651bf475d124609e16e0feeecd7e97c8e1d5f494696bab9b838c6d3e09
# wrapper: e2e_sim_public commit 88f6240434f6371b37db45c8fb909f19b6b6bfb7, TesseraTSV.OUTPUT_VERSION=1
# scale: 2 -- auto-resolved by e2e.blocks._resolve_tessera_scale for this band (see F91, notes/ESTABLISHED_FACTS.md); NOT the direct evaluation
# generated: 2026-09-23
# command: python -m e2e.data.interconnect.regenerate_tessera_tsv
# phase is the surrogate's OWN phase (not a minimum-phase reconstruction).
# columns: freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg,s11_re,s11_im,s11_abs_db
freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg,s11_re,s11_im,s11_abs_db
2.850000e+10,9.27541137e-01,-1.45970047e-01,-0.547088,-8.943465,-5.01109660e-02,-2.74383947e-02,-24.862533
2.851000e+10,9.27532077e-01,-1.46008983e-01,-0.547115,-8.945898,-5.01189902e-02,-2.74427831e-02,-24.861142
2.852000e+10,9.27523017e-01,-1.46047667e-01,-0.547142,-8.948316,-5.01270071e-02,-2.74471417e-02,-24.859755
2.853000e+10,9.27513897e-01,-1.46086469e-01,-0.547169,-8.950741,-5.01349941e-02,-2.74515077e-02,-24.858372
2.854000e+10,9.27504897e-01,-1.46125332e-01,-0.547196,-8.953169,-5.01430333e-02,-2.74558738e-02,-24.856982
2.855000e+10,9.27495837e-01,-1.46164119e-01,-0.547223,-8.955593,-5.01510501e-02,-2.74602249e-02,-24.855596
2.856000e+10,9.27486598e-01,-1.46202937e-01,-0.547251,-8.958021,-5.01590446e-02,-2.74645761e-02,-24.854213
2.857000e+10,9.27477658e-01,-1.46241724e-01,-0.547277,-8.960444,-5.01670316e-02,-2.74689570e-02,-24.852830
2.858000e+10,9.27468657e-01,-1.46280542e-01,-0.547303,-8.962869,-5.01750484e-02,-2.74733007e-02,-24.851445
2.859000e+10,9.27459538e-01,-1.46319360e-01,-0.547331,-8.965296,-5.01830503e-02,-2.74776667e-02,-24.850061
2.860000e+10,9.27450418e-01,-1.46358132e-01,-0.547358,-8.967720,-5.01910374e-02,-2.74820253e-02,-24.848680
2.861000e+10,9.27441239e-01,-1.46397009e-01,-0.547386,-8.970150,-5.01990542e-02,-2.74864137e-02,-24.847293
2.862000e+10,9.27432418e-01,-1.46435738e-01,-0.547411,-8.972569,-5.02070338e-02,-2.74907425e-02,-24.845915
2.863000e+10,9.27423239e-01,-1.46474540e-01,-0.547439,-8.974995,-5.02150282e-02,-2.74951011e-02,-24.844534
2.864000e+10,9.27414179e-01,-1.46513373e-01,-0.547465,-8.977422,-5.02230152e-02,-2.74994746e-02,-24.843152
2.865000e+10,9.27405298e-01,-1.46552116e-01,-0.547491,-8.979842,-5.02310097e-02,-2.75038034e-02,-24.841773
2.866000e+10,9.27396178e-01,-1.46590903e-01,-0.547518,-8.982267,-5.02390116e-02,-2.75081396e-02,-24.840393
2.867000e+10,9.27386999e-01,-1.46629676e-01,-0.547546,-8.984691,-5.02469912e-02,-2.75124982e-02,-24.839014
2.868000e+10,9.27377939e-01,-1.46668494e-01,-0.547572,-8.987117,-5.02549931e-02,-2.75168940e-02,-24.837630
2.869000e+10,9.27368879e-01,-1.46707296e-01,-0.547599,-8.989542,-5.02629355e-02,-2.75212303e-02,-24.836258
2.870000e+10,9.27359819e-01,-1.46746069e-01,-0.547626,-8.991966,-5.02708927e-02,-2.75255740e-02,-24.834884
2.871000e+10,9.27350879e-01,-1.46784902e-01,-0.547651,-8.994392,-5.02788648e-02,-2.75299102e-02,-24.833509
2.872000e+10,9.27341700e-01,-1.46823645e-01,-0.547679,-8.996814,-5.02868667e-02,-2.75342762e-02,-24.832128
2.873000e+10,9.27332580e-01,-1.46862388e-01,-0.547707,-8.999237,-5.02947941e-02,-2.75386199e-02,-24.830759
2.874000e+10,9.27323580e-01,-1.46901205e-01,-0.547733,-9.001662,-5.03028035e-02,-2.75429860e-02,-24.829377
2.875000e+10,9.27314639e-01,-1.46940053e-01,-0.547758,-9.004089,-5.03107235e-02,-2.75473148e-02,-24.828010
2.876000e+10,9.27305520e-01,-1.46978825e-01,-0.547785,-9.006513,-5.03186956e-02,-2.75516659e-02,-24.826635
2.877000e+10,9.27296519e-01,-1.47017583e-01,-0.547811,-9.008935,-5.03266454e-02,-2.75560096e-02,-24.825263
2.878000e+10,9.27287519e-01,-1.47056252e-01,-0.547838,-9.011352,-5.03346398e-02,-2.75603384e-02,-24.823887
2.879000e+10,9.27278221e-01,-1.47095039e-01,-0.547866,-9.013779,-5.03425896e-02,-2.75646895e-02,-24.822516
2.880000e+10,9.27269340e-01,-1.47133902e-01,-0.547891,-9.016206,-5.03505319e-02,-2.75690407e-02,-24.821145
2.881000e+10,9.27260280e-01,-1.47172600e-01,-0.547918,-9.018625,-5.03584966e-02,-2.75733918e-02,-24.819772
2.882000e+10,9.27250981e-01,-1.47211388e-01,-0.547946,-9.021052,-5.03664389e-02,-2.75777057e-02,-24.818405
2.883000e+10,9.27242160e-01,-1.47250116e-01,-0.547971,-9.023470,-5.03743812e-02,-2.75820643e-02,-24.817035
2.884000e+10,9.27233100e-01,-1.47288918e-01,-0.547997,-9.025896,-5.03823087e-02,-2.75864005e-02,-24.815668
2.885000e+10,9.27223980e-01,-1.47327662e-01,-0.548024,-9.028318,-5.03902361e-02,-2.75907218e-02,-24.814303
2.886000e+10,9.27215099e-01,-1.47366434e-01,-0.548049,-9.030740,-5.03981784e-02,-2.75950581e-02,-24.812935
2.887000e+10,9.27205920e-01,-1.47405207e-01,-0.548077,-9.033165,-5.04061207e-02,-2.75994241e-02,-24.811565
2.888000e+10,9.27196741e-01,-1.47443905e-01,-0.548104,-9.035585,-5.04140556e-02,-2.76037455e-02,-24.810199
2.889000e+10,9.27187562e-01,-1.47482619e-01,-0.548132,-9.038007,-5.04219756e-02,-2.76080742e-02,-24.808835
2.890000e+10,9.27178741e-01,-1.47521436e-01,-0.548156,-9.040431,-5.04299179e-02,-2.76124179e-02,-24.807468
2.891000e+10,9.27169561e-01,-1.47560224e-01,-0.548184,-9.042856,-5.04378453e-02,-2.76167616e-02,-24.806102
2.892000e+10,9.27160501e-01,-1.47598952e-01,-0.548210,-9.045278,-5.04457578e-02,-2.76210904e-02,-24.804740
2.893000e+10,9.27151501e-01,-1.47637680e-01,-0.548236,-9.047698,-5.04536778e-02,-2.76254341e-02,-24.803376
2.894000e+10,9.27142441e-01,-1.47676438e-01,-0.548262,-9.050121,-5.04616126e-02,-2.76297554e-02,-24.802012
